조사년도,해역,연안명칭,수온 표층,수온 저층,염분 표층,염분 저층,수소이온농도 표층,수소이온농도 저층,용존산소량 표층,용존산소량 저층,화학적산소요구량 표층,화학적산소요구량 저층,암모니아질소 표층,암모니아질소 저층,아질산성 질소 표층,아질산성 질소 저층,질산성질소 표층,질산성질소 저층,용존무기질소 표층,용존무기질소 저층,총질소 표층,총질소 저층,용존무기인 표층,용존무기인 저층,총인 표층,총인 저층,규산규소 표층,규산규소 저층,부유물질 표층,부유물질 저층,클로필드 표층,클로필드 저층,투명도 표층
2017,남해,완도연안,16.04,15.7,33.06,33.06,8.18,8.19,7.77,7.75,1.34,1.69,11.53,10.77,4.4,4.65,46.75,49.01,62.68,64.43,182.32,185.48,14.06,12.12,33.84,35.75,260.76,254.56,60.33,67.06,0.81,0.73,1.72
2017,남해,도암만,17.11,16.91,32.64,32.68,8.15,8.16,7.69,7.6,1.3,1.76,23.58,22.8,4.16,3.75,47.63,42.34,75.37,68.89,261.1,260.22,16.58,13.32,29.32,36.2,514.73,464.28,63.43,72,1.83,1.55,1.28
2017,남해,진도연안,16.16,15.9,32.86,32.87,8.18,8.2,8.16,8.09,1.46,1.75,1.68,2.27,3.27,3.76,51.06,49.09,56.01,55.13,181.81,187.49,18.29,19.27,30.86,37.84,250.57,258.04,78.1,114.5,1.81,1.73,1.08
2017,서해,해남만,15.5,15.14,31.63,31.96,8.16,8.15,9.1,8.83,1.36,1.43,3.98,4.21,10.65,10.51,99.96,104.88,114.59,119.6,234.69,239.99,9.68,9.75,24.92,26.7,320.88,328.58,11.81,23.68,2.39,2.15,1.98
2017,서해,목포연안,15.66,14.95,30.75,31.94,8.16,8.1,8.85,8.14,1.45,1.34,11.68,8.93,12.73,14.11,141.51,109.69,165.92,134.61,328.37,291.41,9.94,15.79,26.1,30.35,352.21,325.79,17.38,25.9,3.29,1.62,1.61
2017,서해,신안연안,15.08,14.87,32.51,32.53,8.1,8.11,8.42,8.43,1.44,1.39,1.44,5.34,8.56,8.43,101.7,105.55,111.7,119.32,218.91,233.25,19.18,17.43,27.69,42.45,323.54,332.14,43.8,47.45,1.31,1.44,0.95
2017,서해,무안연안,16.46,16.62,30.81,32.12,8.13,8.12,8.33,8.22,1.26,1.61,11.22,14.46,6.69,6.77,75.59,70.19,93.49,91.43,242.41,227.74,12.9,13.99,32.16,35.32,298.01,286.91,75.27,85,1.93,2.04,0.75
2017,서해,함평연안,17.04,16.95,32.17,32.17,8.06,8.06,7.92,7.92,1.8,2.12,11.06,17.17,8.37,7.85,104.48,95.51,123.9,120.53,267.02,344.58,18.86,17.23,31.76,74.07,484.28,457.35,102.76,178.73,1.59,1.82,2.74
2017,서해,고창연안,15.89,15.88,32.01,31.99,8.17,8.18,9.04,8.94,1.6,1.74,10.97,10.24,2.31,2.07,24.88,27.79,38.15,40.09,238.02,221.22,9.06,9.62,35.76,42.36,161.71,169.77,46.51,58.8,5.05,4.89,1.21
2017,서해,전주포연안,14.96,14.13,31.63,31.78,8.21,8.18,9.16,8.69,1.72,1.8,4.43,4.46,2.54,2.72,28.27,28.96,35.24,36.14,185.81,175.57,10.27,10.47,21.33,21.65,189.48,212.02,9.97,13.87,3.08,3.34,2.76
